1941-09-01	Да	РФ	31 армия	119, 247, 249 сд	43 кап, 766 ап ПТО, 231, 232, 281, 282 батареи морских орудий			537 мсб
1941-09-01	Да	РФ	32 армия	2, 7, 8, 13 сд НО	873 ап ПТО
1941-09-01	Да	РФ	33 армия	1, 5, 9, 17, 18, 21 сд НО	876, 878 ап ПТО
1941-09-01	Да	РФ	43 армия	53, 149, 211, 222 сд	364, 646 кап, 320 пап РВГК, 18, 758, 875 ап ПТО, 64, 71, 230, 304 озад	104, 109 тд	12 сад, 161, 165 иап, 57 бап	9 мпмб, 246, 273, 312 осб, 538 мсб
1941-09-01	Да	РФ	49 армия	194, 220, 248 сд, 4 сд НО	396, 3/392 кап
1941-09-01	Да	РФ		133 сд, 68 УР	336, 649 кап	143 тбр		84 осб
1941-09-01	Да	БрФ	3 армия	137, 148, 269, 280, 282 сд, 4 кд	420 кап	108 тд, 141 тбр, 113 отб
1941-09-01	Да	БрФ	13 армия	45 ск (6, 155, 307 сд), 121, 132, 143 сд, 52 кд, 4 вдк (7, 8 вдбр)	462 кап, 387 гап РВГК, 699 ап ПТО, 12, 130 озад	50 тд, 43 отб		78, 275 оиб, 60 пмб
1941-09-01	Да	БрФ	21 армия	28 ск (117, 187, 219 сд), 66 ск (55, 75, 232, 266 сд), 67 ск (24, 42, 277 сд), кав. группа (32, 43, 47 кд), 214 вдбр	435 кап, 5, 6 оминб, 21 озад	18 отп, 20 мцп, 6 отд. д-н бронепоездов		23 оиб, 266 осб
1941-09-01	Да	БрФ	50 армия	217, 258, 260, 278, 279, 290, 299 сд, 38 сд(29 сп )	151, 207, 645 кап, 761 ап ПТО, 86 озад			5 осб
1941-09-01	Да	БрФ	Опер. группа генерала Ермакова	283 сд, 21 гкд, 55 кд		121, 150 тбр
1941-09-01	Да	БрФ	Опер. группа полковника Акименко	127, 160 сд	753 ап ПТО
1941-09-01	Да	БрФ		102, 151, 154, 287, 298 сд, Брянский осп	447, 455 кап, 311 озад; 546, 637, 643 кап 		11, 28, 60, 61 сад
1941-09-01	Да	ЮЗФ	5 армия	15 ск (45, 62 сд), 31 ск (193, 195, 200 сд), 131 сд, 5 УР, 1 вдк (1, 204 вдбр)	1 арт. бригада ПТО, 231, 368, 458, 460, 543 кап, 212, 331, 589 гап РВГК, 23, 243, 263 озад	9 мк (20, 35 тд), 22 мк (19, 41 тд), 215 мд, 152 отб, 15 отд. д-н бронепоездов		117 миб, 11 пмб, 147 осб
1941-09-01	Да	ЮЗФ	26 армия	6 ск, 41, 159, 199, 227, 264, 289, 301 сд, 15 мсп, 8 УР	209, 229 ап РВГК, 186 ап ПТО, 228 сд (669 лап), 17 озад	7 мд, 37 мцп, 57, 60, 91 отб		65, 119 миб, 37 пмб, 195 осб
1941-09-01	Да	ЮЗФ	37 армия	27, 64 ск, 28 гсд, 87, 124, 146, 147, 165, 171, 175, 206, 228, 284, 285 сд, 1 УР	272, 377 кап, 538 гап, 135 пап РВГК, 45 оад ПТО	63 отб, 3 мцб		48 оиб, 120 миб, 13 мпмб, 8 осб
